GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017
Id,Id2,Geography,Total:,Not Hispanic or Latino:,Not Hispanic or Latino: - White alone,Not Hispanic or Latino: - Black or African American alone,Not Hispanic or Latino: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Asian alone,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Some Other Race alone,Not Hispanic or Latino: - Two or More Races,Hispanic or Latino:,Hispanic or Latino: - White alone,Hispanic or Latino: - Black or African American alone,Hispanic or Latino: - American Indian and Alaska Native alone,Hispanic or Latino: - Asian alone,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: - Some Other Race alone,Hispanic or Latino: - Two or More Races
1580000US1714000031081000,1714000031081000,"Census Tract 810, Cook County (part), Chicago city, Illinois",7546,7124,5389,909,10,676,2,15,123,422,283,16,1,8,0,90,24
1580000US1714000031081100,1714000031081100,"Census Tract 811, Cook County (part), Chicago city, Illinois",3640,3443,2576,458,5,337,4,9,54,197,137,8,1,0,0,40,11
1580000US1714000031081201,1714000031081201,"Census Tract 812.01, Cook County (part), Chicago city, Illinois",4059,3852,3285,172,2,316,1,9,67,207,137,3,0,2,0,50,15
1580000US1714000031081202,1714000031081202,"Census Tract 812.02 (part), Cook County (part), Chicago city, Illinois",2995,2872,2621,73,4,133,0,0,41,123,92,1,0,2,0,25,3
1580000US1714000031081300,1714000031081300,"Census Tract 813, Cook County (part), Chicago city, Illinois",4884,4697,3968,173,1,479,0,7,69,187,142,6,1,6,0,23,9
1580000US1714000031081401,1714000031081401,"Census Tract 814.01, Cook County (part), Chicago city, Illinois",2279,2157,1644,127,1,342,0,4,39,122,89,3,5,1,0,15,9
1580000US1714000031081402,1714000031081402,"Census Tract 814.02, Cook County (part), Chicago city, Illinois",4243,4034,2863,272,8,781,1,9,100,209,164,8,0,3,2,28,4
1580000US1714000031081403,1714000031081403,"Census Tract 814.03 (part), Cook County (part), Chicago city, Illinois",6229,5870,4102,261,0,1344,6,15,142,359,282,15,0,5,0,42,15
1580000US1714000031081500,1714000031081500,"Census Tract 815, Cook County (part), Chicago city, Illinois",4379,4171,3232,143,5,696,4,8,83,208,166,4,6,2,0,22,8
1580000US1714000031081600,1714000031081600,"Census Tract 816, Cook County (part), Chicago city, Illinois",3545,3364,2687,122,3,481,1,9,61,181,124,3,1,0,0,51,2
1580000US1714000031081700,1714000031081700,"Census Tract 817, Cook County (part), Chicago city, Illinois",3102,2784,1969,315,9,399,0,6,86,318,150,6,4,4,0,133,21
1580000US1714000031081800,1714000031081800,"Census Tract 818, Cook County (part), Chicago city, Illinois",6866,6571,5566,174,6,695,0,20,110,295,217,1,0,5,0,49,23
1580000US1714000031081900,1714000031081900,"Census Tract 819, Cook County (part), Chicago city, Illinois",1053,1030,414,542,0,54,0,0,20,23,14,0,0,0,0,9,0
1580000US1714000031090100,1714000031090100,"Census Tract 901, Cook County (part), Chicago city, Illinois",3405,3131,2979,9,1,103,0,6,33,274,196,2,5,4,0,48,19
1580000US1714000031090200,1714000031090200,"Census Tract 902 (part), Cook County (part), Chicago city, Illinois",6477,5985,5757,18,0,136,1,2,71,492,351,3,1,4,2,101,30
1580000US1714000031090300,1714000031090300,"Census Tract 903 (part), Cook County (part), Chicago city, Illinois",1305,1199,1149,2,2,30,0,0,16,106,74,0,0,0,0,26,6
1580000US1714000031100100,1714000031100100,"Census Tract 1001, Cook County (part), Chicago city, Illinois",5313,4570,4165,38,20,261,0,12,74,743,484,3,8,4,1,216,27
